" and click Select to fill the place of the photo."," und Wählen anklicken, um den Platz des Fotos auszufüllen."
"Blank","Leer"
"Can't delete image","Das Bild konnte nicht gelöscht werden."
"Can't get preview image:","Das Vorschaubild wurde nicht gefunden:"
"Cancel upload","Hochladen abbrechen"
"Cannot update the preview. Try again or add to cart as is and we will update it manually.","Konnte die Vorschau nicht aktualisieren. Bitte versuchen Sie es erneut"
"Cannot update the preview. Try again.","Konnte die Vorschau nicht aktualisieren. Bitte versuchen Sie es erneut"
"Choose a color","Eine Farbe wählen"
"Choose file","Datei wählen"
"Click to close","Anklicken zum Schließen"
"Click to delete","Anklicken zum Entfernen"
"Click to edit","Anklicken zum Bearbeiten"
"Click to enlarge image","Anklicken zum Vergrößern"
"Click to enlarge","Anklicken zum Vergrößern"
"Click to see more images","Anklicken um mehr Bilder anzusehen"
"Click to show page","Anklicken, um die Seite zu zeigen"
"Click to view in large size","Anklicken zum Vergrößern"
"Collapse/Expand","Einklappen/Ausklappen"
"Color picker","Farbwähler"
"Created","Erstellt"
"Crop Image","Das Bild zuschneiden"
"Crop","Zuschneiden"
"Customer's personal options for web-to-print extension.","Kunden personalisierte Optionen für web-to-print Erweiterung."
"Default","Standard"
"Delete Image","Das Bild entfernen"
"Delete this image","Diese Bild löschen?"
"Delete this image","Dieses Bild entfernen"
"Delete this image?","Diese Bild löschen?"
"Delete","Entfernen"
"Do you want to update the preview with your latest changes?","Möchten Sie die Vorschau mit Ihren letzten Änderungen aktualisieren"
"Edit","Bearbeiten"
"Enabled","Aktiviert"
"Error was occurred while preparing preview image","Ein Fehler ist aufgetreten bei der Vorbereitung des Vorschaubildes."
"Error was occurred while uploading image","Ein Fehler ist aufgetreten beim Hochladen des Vorschaubildes."
"File Uploading Limit","Datei Uploadgrenze"
"Fit image in field","Das Bild im Feld einpassen"
"Fit in field","In Feld einpassen"
"For Deleted Templates","Für gelöschte Vorlagen"
"Hide all order previews","Die Bestell-Vorschaubilder verbergen"
"Hide previews","Vorschaubilder verbergen"
"My images","Meine Bilder"
"Name","Name"
"Next page","Nächste Seite"
"PDF Proof","PDF Kontrolle"
"Pending Review","Warten auf Überprüfung"
"Personalize","Personalisieren"
"Please specify the product's required option(s) and/or personalize it","Bitte geben Sie die gewünschte Optionen des Produktes ein und/oder personalisieren Sie es."
"Press Update Preview before adding to cart to include your latest changes","Drücken Sie auf 'Aktualisieren der Vorschau' bevor Sie das Produkt zum Warenkorb hinzufügen, um die letzen Änderungen zu speichern"
"px","px"
"Recommended size:","Empfohlene Größe:"
"Refresh All","Alle aktualisieren"
"Reset","Zurücksetzen"
"Restore","Ersetzen"
"Rotate Image Left","Das Bild nach links drehen"
"Rotate Image Right","Das Bild nach rechts drehen"
"Rotate left","Nach links drehen"
"Rotate right","Nach rechts drehen"
"Save","Speichern"
"Saved","Gespeichert"
"Selected image","Gewähltes Bild"
"Settings","Konfiguration"
"Share preview","Vorschau mitteilen"
"Show all order previews","Die Bestell-Vorschaubilder zeigen"
"Show previews","Vorschaubilder zeigen"
"Stock images","Stock Bilder"
"Store","Speichern"
"There was an error in generating or receiving preview image.\nPlease try again.","Es gab einen Fehler beim Erstellen oder Empfangen der Vorschaubilder."
"Title","Titel"
"Undo all changes","Alle Änderungen rückgängig machen"
"Up/Down","Oben/Unten"
"Update all previews first!","Zuerst alle Vorschaubilder aktualisieren!"
"Update preview first!","Zuerst die Vorschau aktualisieren"
"Update preview","Aktualisieren der Vorschau"
"Updating preview image","Vorschaubild wird aktualisiert"
"Upload file","Die Datei hochladen"
"Upload new image from your computer","Ein neues Bild von Ihrem Computer hochladen"
"Upload","Hochladen"
"Use image","Verwenden"
"ZetaPrints API Key","ZetaPrints API Key"
"ZetaPrints URL","ZetaPrints URL"
"ZetaPrints web-to-print options","ZetaPrints web-to-print Optionen"
